source,target,relationship_type,weight,source_label,target_label,entries
74234-0124,74234-0127,child,1,Maria Custódia,Antônio Barbosa de Mendonça,74234-0007-05
74234-0124,74234-0128,child,1,Maria Custódia,José Vieira de Lemos,74234-0007-05
74234-0124,74234-0129,child,1,Maria Custódia,Inês Matheus,74234-0007-05
74234-0125,74234-0126,spouse,1,José Afonso,Jozepha Vieira,74234-0007-05
74234-0125,74234-0123,parent,1,José Afonso,Manoel Antônio,74234-0007-05
74234-0125,74234-0122,grandchild,1,José Afonso,Umbelina,74234-0007-05
74234-0126,74234-0125,spouse,1,Jozepha Vieira,José Afonso,74234-0007-05
74234-0126,74234-0123,parent,1,Jozepha Vieira,Manoel Antônio,74234-0007-05
74234-0126,74234-0122,grandchild,1,Jozepha Vieira,Umbelina,74234-0007-05
74234-0127,74234-0128,spouse,1,Antônio Barbosa de Mendonça,José Vieira de Lemos,74234-0007-05
74234-0127,74234-0124,parent,1,Antônio Barbosa de Mendonça,Maria Custódia,74234-0007-05
74234-0127,74234-0122,grandchild,1,Antônio Barbosa de Mendonça,Umbelina,74234-0007-05
74234-0128,74234-0129,spouse,1,José Vieira de Lemos,Inês Matheus,74234-0007-05
74234-0128,74234-0124,parent,1,José Vieira de Lemos,Maria Custódia,74234-0007-05
74234-0128,74234-0127,spouse,1,José Vieira de Lemos,Antônio Barbosa de Mendonça,74234-0007-05
74234-0128,74234-0122,grandchild,1,José Vieira de Lemos,Umbelina,74234-0007-05
74234-0129,74234-0128,spouse,1,Inês Matheus,José Vieira de Lemos,74234-0007-05
74234-0129,74234-0124,parent,1,Inês Matheus,Maria Custódia,74234-0007-05
74234-0131,74234-0122,godchild,1,Luiz Barbosa de Mendonça,Umbelina,74234-0007-05
74234-0132,74234-0122,godchild,1,Maria da Motta Barbosa,Umbelina,74234-0007-05
74234-0133,74234-0134,spouse,1,Pedro Machado de Faria,Joaquina Roza,74234-0008-01
74234-0133,74234-0139,child,1,Pedro Machado de Faria,Vitoriana,74234-0008-01
74234-0134,74234-0133,spouse,1,Joaquina Roza,Pedro Machado de Faria,74234-0008-01
74234-0134,74234-0139,child,1,Joaquina Roza,Vitoriana,74234-0008-01
74234-0135,74234-0139,grandchild,1,Antonio Barboza Branco,Vitoriana,74234-0008-01
74234-0136,74234-0139,grandchild,1,Bernarda de Faria,Vitoriana,74234-0008-01
74234-0137,74234-0138,spouse,1,Miguel de Gouvea Franco,Maria Josefa,74234-0008-01
74234-0137,74234-0139,grandchild,1,Miguel de Gouvea Franco,Vitoriana,74234-0008-01
74234-0138,74234-0137,spouse,1,Maria Josefa,Miguel de Gouvea Franco,74234-0008-01
74234-0138,74234-0139,grandchild,1,Maria Josefa,Vitoriana,74234-0008-01
74234-0139,74234-0133,parent,1,Vitoriana,Pedro Machado de Faria,74234-0008-01
74234-0139,74234-0134,parent,1,Vitoriana,Joaquina Roza,74234-0008-01
74234-0139,74234-0135,grandparent,1,Vitoriana,Antonio Barboza Branco,74234-0008-01
74234-0139,74234-0136,grandparent,1,Vitoriana,Bernarda de Faria,74234-0008-01
74234-0139,74234-0137,grandparent,1,Vitoriana,Miguel de Gouvea Franco,74234-0008-01
74234-0139,74234-0138,grandparent,1,Vitoriana,Maria Josefa,74234-0008-01
74234-0139,74234-0254,godparent,1,Vitoriana,João Batista dos Santos,74234-0008-01
74234-0139,74234-0140,godparent,1,Vitoriana,Maria Ignacia,74234-0008-01
74234-0254,74234-0139,godchild,1,João Batista dos Santos,Vitoriana,74234-0008-01
74234-0140,74234-0139,godchild,1,Maria Ignacia,Vitoriana,74234-0008-01
74234-0141,74234-0249,spouse,1,Thomaz Gonçalves Lima,Maria Roza,74234-0008-02
74234-0141,74234-0144,child,1,Thomaz Gonçalves Lima,Antonio,74234-0008-02
74234-0249,74234-0141,spouse,1,Maria Roza,Thomaz Gonçalves Lima,74234-0008-02
74234-0249,74234-0144,child,1,Maria Roza,Antonio,74234-0008-02
74234-0142,74234-0144,grandchild,1,João Gonçalves Lima,Antonio,74234-0008-02
74234-0214,74234-0144,grandchild,1,Thereza Maria,Antonio,74234-0008-02
74234-0143,74234-0144,grandchild,1,João Roiz Moreira,Antonio,74234-0008-02
74234-0144,74234-0141,parent,1,Antonio,Thomaz Gonçalves Lima,74234-0008-02
74234-0144,74234-0249,parent,1,Antonio,Maria Roza,74234-0008-02
74234-0144,74234-0142,grandparent,1,Antonio,João Gonçalves Lima,74234-0008-02
74234-0144,74234-0145,godparent,1,Antonio,Luiz Pinto de Mello,74234-0008-02
74234-0144,74234-0214,grandparent,1,Antonio,Thereza Maria,74234-0008-02
74234-0144,74234-0143,grandparent,1,Antonio,João Roiz Moreira,74234-0008-02
74234-0145,74234-0144,godchild,1,Luiz Pinto de Mello,Antonio,74234-0008-02
74234-0148,74234-0149,spouse,1,Luiz Manoel de Magalhães,Joaquina Roiz,74234-0008-02
74234-0148,74234-0151,child,1,Luiz Manoel de Magalhães,Antonio José Alvares,74234-0008-02
74234-0148,74234-0150,child,1,Luiz Manoel de Magalhães,Ignacio,74234-0008-02
74234-0149,74234-0148,spouse,1,Joaquina Roiz,Luiz Manoel de Magalhães,74234-0008-02
74234-0149,74234-0151,parent,1,Joaquina Roiz,Antonio José Alvares,74234-0008-02
74234-0149,74234-0150,child,1,Joaquina Roiz,Ignacio,74234-0008-02
74234-0150,74234-0148,parent,1,Ignacio,Luiz Manoel de Magalhães,74234-0008-02
74234-0150,74234-0149,parent,1,Ignacio,Joaquina Roiz,74234-0008-02
74234-0150,74234-0151,godparent,1,Ignacio,Antonio José Alvares,74234-0008-02
74234-0151,74234-0150,godchild,1,Antonio José Alvares,Ignacio,74234-0008-02
74234-0151,74234-0148,parent,1,Antonio José Alvares,Luiz Manoel de Magalhães,74234-0008-02
74234-0151,74234-0149,child,1,Antonio José Alvares,Joaquina Roiz,74234-0008-02
74234-0152,74234-0155,child,1,Manoel Roiz,João Miz de Souza,74234-0008-03
74234-0152,74234-0154,child,1,Manoel Roiz,Maria,74234-0008-03
74234-0153,74234-0155,godparent,1,Gilia de Jesus,João Miz de Souza,74234-0008-03
74234-0154,74234-0155,godparent,1,Maria,João Miz de Souza,74234-0008-03
74234-0154,74234-0152,parent,1,Maria,Manoel Roiz,74234-0008-03
74234-0155,74234-0154,godchild,1,João Miz de Souza,Maria,74234-0008-03
74234-0155,74234-0152,parent,1,João Miz de Souza,Manoel Roiz,74234-0008-03
74234-0155,74234-0153,godchild,1,João Miz de Souza,Gilia de Jesus,74234-0008-03
74234-0156,74234-0157,spouse,1,Thomé Luiz Ribeiro,Maria da Glória Ferreira,74234-0009-01
74234-0156,74234-0162,child,1,Thomé Luiz Ribeiro,Antonio,74234-0009-01
74234-0157,74234-0156,spouse,1,Maria da Glória Ferreira,Thomé Luiz Ribeiro,74234-0009-01
74234-0157,74234-0162,child,1,Maria da Glória Ferreira,Antonio,74234-0009-01
74234-0158,74234-0159,spouse,1,Luiz Ribeiro de Sant'Anna,Rita Carlota,74234-0009-01
74234-0158,74234-0162,grandchild,1,Luiz Ribeiro de Sant'Anna,Antonio,74234-0009-01
74234-0159,74234-0158,spouse,1,Rita Carlota,Luiz Ribeiro de Sant'Anna,74234-0009-01
74234-0159,74234-0162,grandchild,1,Rita Carlota,Antonio,74234-0009-01
74234-0160,74234-0161,spouse,1,Vicente Fena,Marianna Vicencia de Jesus,74234-0009-01
74234-0160,74234-0162,grandchild,1,Vicente Fena,Antonio,74234-0009-01
74234-0161,74234-0160,spouse,1,Marianna Vicencia de Jesus,Vicente Fena,74234-0009-01
74234-0161,74234-0162,grandchild,1,Marianna Vicencia de Jesus,Antonio,74234-0009-01
74234-0162,74234-0156,parent,1,Antonio,Thomé Luiz Ribeiro,74234-0009-01
74234-0162,74234-0157,parent,1,Antonio,Maria da Glória Ferreira,74234-0009-01
74234-0162,74234-0229,godparent,1,Antonio,José da Silva,74234-0009-01
74234-0162,74234-0163,godparent,1,Antonio,Maria Jacinta de Todo,74234-0009-01
74234-0162,74234-0158,grandparent,1,Antonio,Luiz Ribeiro de Sant'Anna,74234-0009-01
74234-0162,74234-0159,grandparent,1,Antonio,Rita Carlota,74234-0009-01
74234-0162,74234-0160,grandparent,1,Antonio,Vicente Fena,74234-0009-01
74234-0162,74234-0161,grandparent,1,Antonio,Marianna Vicencia de Jesus,74234-0009-01
74234-0229,74234-0162,godchild,1,José da Silva,Antonio,74234-0009-01
74234-0163,74234-0162,godchild,1,Maria Jacinta de Todo,Antonio,74234-0009-01
74234-0165,74234-0166,spouse,1,João Pereira de Mattos,Luiza Maria da Conceição,74234-0009-02
74234-0165,74234-0171,child,1,João Pereira de Mattos,Maria,74234-0009-02
74234-0166,74234-0165,spouse,1,Luiza Maria da Conceição,João Pereira de Mattos,74234-0009-02
74234-0166,74234-0171,child,1,Luiza Maria da Conceição,Maria,74234-0009-02
74234-0167,74234-0171,grandchild,1,José Pereira de Mattos,Maria,74234-0009-02
74234-0168,74234-0171,grandchild,1,Maria de Andrada,Maria,74234-0009-02
74234-0169,74234-0170,spouse,1,João Pereira Pimentel,Maria José de Jesus,74234-0009-02
74234-0169,74234-0171,grandchild,1,João Pereira Pimentel,Maria,74234-0009-02
74234-0170,74234-0169,spouse,1,Maria José de Jesus,João Pereira Pimentel,74234-0009-02
74234-0170,74234-0171,grandchild,1,Maria José de Jesus,Maria,74234-0009-02
74234-0171,74234-0165,parent,1,Maria,João Pereira de Mattos,74234-0009-02
74234-0171,74234-0166,parent,1,Maria,Luiza Maria da Conceição,74234-0009-02
74234-0171,74234-0172,godparent,1,Maria,José Pereira Pimentel,74234-0009-02
74234-0171,74234-0167,grandparent,1,Maria,José Pereira de Mattos,74234-0009-02
74234-0171,74234-0168,grandparent,1,Maria,Maria de Andrada,74234-0009-02
74234-0171,74234-0169,grandparent,1,Maria,João Pereira Pimentel,74234-0009-02
74234-0171,74234-0170,grandparent,1,Maria,Maria José de Jesus,74234-0009-02
74234-0172,74234-0171,godchild,1,José Pereira Pimentel,Maria,74234-0009-02
74234-0173,74234-0174,spouse,1,José de Mendonça,Maria da Glória,74234-0009-03
74234-0173,74234-0175,child,1,José de Mendonça,Jacinta,74234-0009-03
74234-0174,74234-0173,spouse,1,Maria da Glória,José de Mendonça,74234-0009-03
74234-0174,74234-0175,child,1,Maria da Glória,Jacinta,74234-0009-03
74234-0175,74234-0173,parent,1,Jacinta,José de Mendonça,74234-0009-03
74234-0175,74234-0176,godparent,1,Jacinta,Floriano de Magalhães,74234-0009-03
74234-0175,74234-0174,parent,1,Jacinta,Maria da Glória,74234-0009-03
74234-0176,74234-0175,godchild,1,Floriano de Magalhães,Jacinta,74234-0009-03
74234-0179,74234-0180,spouse,1,Hilario Antonio,Maria Luiza,74234-0009-04
74234-0179,74234-0181,child,1,Hilario Antonio,Joaquina,74234-0009-04
74234-0180,74234-0179,spouse,1,Maria Luiza,Hilario Antonio,74234-0009-04
74234-0180,74234-0181,child,1,Maria Luiza,Joaquina,74234-0009-04
74234-0181,74234-0179,parent,1,Joaquina,Hilario Antonio,74234-0009-04
74234-0181,74234-0180,parent,1,Joaquina,Maria Luiza,74234-0009-04
74234-0183,74234-0184,spouse,1,Luis da Costa,Maria Alvares da Piedade,74234-0010-01
74234-0183,74234-0185,child,1,Luis da Costa,Eduardo,74234-0010-01
74234-0184,74234-0183,spouse,1,Maria Alvares da Piedade,Luis da Costa,74234-0010-01
74234-0184,74234-0185,child,1,Maria Alvares da Piedade,Eduardo,74234-0010-01
74234-0185,74234-0183,parent,1,Eduardo,Luis da Costa,74234-0010-01
74234-0185,74234-0184,parent,1,Eduardo,Maria Alvares da Piedade,74234-0010-01
74234-0185,74234-0186,godparent,1,Eduardo,Manoel de Azeredo,74234-0010-01
74234-0186,74234-0185,godchild,1,Manoel de Azeredo,Eduardo,74234-0010-01
74234-0188,74234-0189,spouse,1,Francisco de Lemos d'Aguiar,Florencia Maria de Jesus,74234-0010-02
74234-0188,74234-0194,child,1,Francisco de Lemos d'Aguiar,Jeronimo,74234-0010-02
74234-0189,74234-0188,spouse,1,Florencia Maria de Jesus,Francisco de Lemos d'Aguiar,74234-0010-02
74234-0189,74234-0194,child,1,Florencia Maria de Jesus,Jeronimo,74234-0010-02
74234-0190,74234-0191,spouse,1,João Corvel,Andrea de Medeiros,74234-0010-02
74234-0190,74234-0194,grandchild,1,João Corvel,Jeronimo,74234-0010-02
74234-0191,74234-0190,spouse,1,Andrea de Medeiros,João Corvel,74234-0010-02
74234-0191,74234-0194,grandchild,1,Andrea de Medeiros,Jeronimo,74234-0010-02
74234-0192,74234-0193,spouse,1,Sebastião de Moraes,Maria Bernarda,74234-0010-02
74234-0192,74234-0194,grandchild,1,Sebastião de Moraes,Jeronimo,74234-0010-02
74234-0193,74234-0192,spouse,1,Maria Bernarda,Sebastião de Moraes,74234-0010-02
74234-0193,74234-0194,grandchild,1,Maria Bernarda,Jeronimo,74234-0010-02
74234-0194,74234-0188,parent,1,Jeronimo,Francisco de Lemos d'Aguiar,74234-0010-02
74234-0194,74234-0189,parent,1,Jeronimo,Florencia Maria de Jesus,74234-0010-02
74234-0194,74234-0195,godparent,1,Jeronimo,Jeronimo de Barros Moreira,74234-0010-02
74234-0194,74234-0190,grandparent,1,Jeronimo,João Corvel,74234-0010-02
74234-0194,74234-0191,grandparent,1,Jeronimo,Andrea de Medeiros,74234-0010-02
74234-0194,74234-0192,grandparent,1,Jeronimo,Sebastião de Moraes,74234-0010-02
74234-0194,74234-0193,grandparent,1,Jeronimo,Maria Bernarda,74234-0010-02
74234-0195,74234-0194,godchild,1,Jeronimo de Barros Moreira,Jeronimo,74234-0010-02
74234-0196,74234-0197,custodian,1,Joaquim,Bento da Silva,74234-0010-03
74234-0196,74234-0198,godparent,1,Joaquim,João de Carvalho,74234-0010-03
74234-0197,74234-0196,ward,1,Bento da Silva,Joaquim,74234-0010-03
74234-0198,74234-0196,godchild,1,João de Carvalho,Joaquim,74234-0010-03
74234-0200,74234-0201,parent,1,Lourenço,José Terra Guterres,74234-0010-04
74234-0200,74234-0202,parent,1,Lourenço,Bernarda Vitória de Carvalho,74234-0010-04
74234-0200,74234-0203,grandparent,1,Lourenço,Antônio Terra Guterres,74234-0010-04
74234-0200,74234-0204,grandparent,1,Lourenço,Ana Rosa do Espírito Santo,74234-0010-04
74234-0200,74234-0205,grandparent,1,Lourenço,Vitoriano José da Fonseca,74234-0010-04
74234-0200,74234-0329,grandparent,1,Lourenço,Anna Maria,74234-0010-04
74234-0200,74234-0206,godparent,1,Lourenço,Manuel Antônio Pereira,74234-0010-04
74234-0200,74234-0207,godparent,1,Lourenço,Francisca Joaquina,74234-0010-04
74234-0201,74234-0202,spouse,1,José Terra Guterres,Bernarda Vitória de Carvalho,74234-0010-04
74234-0201,74234-0200,child,1,José Terra Guterres,Lourenço,74234-0010-04
74234-0201,74234-0203,child,1,José Terra Guterres,Antônio Terra Guterres,74234-0010-04
74234-0201,74234-0204,child,1,José Terra Guterres,Ana Rosa do Espírito Santo,74234-0010-04
74234-0202,74234-0201,spouse,1,Bernarda Vitória de Carvalho,José Terra Guterres,74234-0010-04
74234-0202,74234-0200,child,1,Bernarda Vitória de Carvalho,Lourenço,74234-0010-04
74234-0202,74234-0205,child,1,Bernarda Vitória de Carvalho,Vitoriano José da Fonseca,74234-0010-04
74234-0202,74234-0329,child,1,Bernarda Vitória de Carvalho,Anna Maria,74234-0010-04
74234-0203,74234-0201,parent,1,Antônio Terra Guterres,José Terra Guterres,74234-0010-04
74234-0203,74234-0200,grandchild,1,Antônio Terra Guterres,Lourenço,74234-0010-04
74234-0204,74234-0201,parent,1,Ana Rosa do Espírito Santo,José Terra Guterres,74234-0010-04
74234-0204,74234-0200,grandchild,1,Ana Rosa do Espírito Santo,Lourenço,74234-0010-04
74234-0205,74234-0202,parent,1,Vitoriano José da Fonseca,Bernarda Vitória de Carvalho,74234-0010-04
74234-0205,74234-0200,grandchild,1,Vitoriano José da Fonseca,Lourenço,74234-0010-04
74234-0329,74234-0202,parent,1,Anna Maria,Bernarda Vitória de Carvalho,74234-0010-04
74234-0329,74234-0200,grandchild,1,Anna Maria,Lourenço,74234-0010-04
74234-0206,74234-0200,godchild,1,Manuel Antônio Pereira,Lourenço,74234-0010-04
74234-0207,74234-0200,godchild,1,Francisca Joaquina,Lourenço,74234-0010-04
74234-0209,74234-0210,parent,1,Rita,Miguel Nunes Machado,74234-0010-05
74234-0209,74234-0290,parent,1,Rita,Francisca Maria da Conceição,74234-0010-05
74234-0209,74234-0211,grandparent,1,Rita,Rodrigo Bermudes Machado,74234-0010-05
74234-0209,74234-0212,grandparent,1,Rita,Maria Rosa de Almeida,74234-0010-05
74234-0209,74234-0253,grandparent,1,Rita,Maria da Conceição,74234-0010-05
74234-0209,74234-0213,godparent,1,Rita,Francisco Xavier de Carvalho,74234-0010-05
74234-0209,74234-0214,godparent,1,Rita,Thereza Maria,74234-0010-05
74234-0210,74234-0290,spouse,1,Miguel Nunes Machado,Francisca Maria da Conceição,74234-0010-05
74234-0210,74234-0209,child,1,Miguel Nunes Machado,Rita,74234-0010-05
74234-0210,74234-0211,child,1,Miguel Nunes Machado,Rodrigo Bermudes Machado,74234-0010-05
74234-0210,74234-0212,child,1,Miguel Nunes Machado,Maria Rosa de Almeida,74234-0010-05
74234-0290,74234-0210,spouse,1,Francisca Maria da Conceição,Miguel Nunes Machado,74234-0010-05
74234-0290,74234-0209,child,1,Francisca Maria da Conceição,Rita,74234-0010-05
74234-0290,74234-0253,child,1,Francisca Maria da Conceição,Maria da Conceição,74234-0010-05
74234-0211,74234-0210,parent,1,Rodrigo Bermudes Machado,Miguel Nunes Machado,74234-0010-05
74234-0211,74234-0209,grandchild,1,Rodrigo Bermudes Machado,Rita,74234-0010-05
74234-0212,74234-0210,parent,1,Maria Rosa de Almeida,Miguel Nunes Machado,74234-0010-05
74234-0212,74234-0209,grandchild,1,Maria Rosa de Almeida,Rita,74234-0010-05
74234-0253,74234-0290,parent,1,Maria da Conceição,Francisca Maria da Conceição,74234-0010-05
74234-0253,74234-0209,grandchild,1,Maria da Conceição,Rita,74234-0010-05
74234-0213,74234-0209,godchild,1,Francisco Xavier de Carvalho,Rita,74234-0010-05
74234-0214,74234-0209,godchild,1,Thereza Maria,Rita,74234-0010-05
74234-0215,74234-0290,parent,1,José,Francisca Maria da Conceição,74234-0012-01
74234-0215,74234-0216,godparent,1,José,Matias Francisco Leitão,74234-0012-01
74234-0215,74234-0217,godparent,1,José,Anna Maria de Jesus,74234-0012-01
74234-0290,74234-0215,child,1,Francisca Maria da Conceição,José,74234-0012-01
74234-0216,74234-0215,godchild,1,Matias Francisco Leitão,José,74234-0012-01
74234-0217,74234-0215,godchild,1,Anna Maria de Jesus,José,74234-0012-01
74234-0218,74234-0219,parent,1,Tomás,Manuel Francisco Vieira,74234-0012-02
74234-0218,74234-0220,parent,1,Tomás,Joaquina Maria,74234-0012-02
74234-0218,74234-0221,grandparent,1,Tomás,Manuel Vieira Lopes,74234-0012-02
74234-0218,74234-0222,grandparent,1,Tomás,Jacinta Garcia,74234-0012-02
74234-0218,74234-0223,grandparent,1,Tomás,Leandro Francisco,74234-0012-02
74234-0218,74234-0224,grandparent,1,Tomás,Josefa Maria,74234-0012-02
74234-0218,74234-0225,godparent,1,Tomás,José Garcia,74234-0012-02
74234-0218,74234-0226,godparent,1,Tomás,Ana Maria da Conceição,74234-0012-02
74234-0219,74234-0220,spouse,1,Manuel Francisco Vieira,Joaquina Maria,74234-0012-02
74234-0219,74234-0218,child,1,Manuel Francisco Vieira,Tomás,74234-0012-02
74234-0219,74234-0221,child,1,Manuel Francisco Vieira,Manuel Vieira Lopes,74234-0012-02
74234-0219,74234-0222,child,1,Manuel Francisco Vieira,Jacinta Garcia,74234-0012-02
74234-0220,74234-0219,spouse,1,Joaquina Maria,Manuel Francisco Vieira,74234-0012-02
74234-0220,74234-0218,child,1,Joaquina Maria,Tomás,74234-0012-02
74234-0220,74234-0223,child,1,Joaquina Maria,Leandro Francisco,74234-0012-02
74234-0220,74234-0224,child,1,Joaquina Maria,Josefa Maria,74234-0012-02
74234-0221,74234-0219,parent,1,Manuel Vieira Lopes,Manuel Francisco Vieira,74234-0012-02
74234-0221,74234-0218,grandchild,1,Manuel Vieira Lopes,Tomás,74234-0012-02
74234-0222,74234-0219,parent,1,Jacinta Garcia,Manuel Francisco Vieira,74234-0012-02
74234-0222,74234-0218,grandchild,1,Jacinta Garcia,Tomás,74234-0012-02
74234-0223,74234-0220,parent,1,Leandro Francisco,Joaquina Maria,74234-0012-02
74234-0223,74234-0218,grandchild,1,Leandro Francisco,Tomás,74234-0012-02
74234-0224,74234-0220,parent,1,Josefa Maria,Joaquina Maria,74234-0012-02
74234-0224,74234-0218,grandchild,1,Josefa Maria,Tomás,74234-0012-02
74234-0225,74234-0218,godchild,1,José Garcia,Tomás,74234-0012-02
74234-0226,74234-0218,godchild,1,Ana Maria da Conceição,Tomás,74234-0012-02
74234-0227,74234-0230,grandparent,1,Domingos,Avô não declarado,74234-0012-03
74234-0227,74234-0229,parent,1,Domingos,José da Silva,74234-0012-03
74234-0227,74234-0228,parent,1,Domingos,Ana Maria do Sacramento,74234-0012-03
74234-0227,74234-0229,grandparent,1,Domingos,José da Silva,74234-0012-03
74234-0227,74234-0231,grandparent,1,Domingos,Domingos Gonçalves da Silva,74234-0012-03
74234-0227,74234-0329,grandparent,1,Domingos,Anna Maria,74234-0012-03
74234-0227,74234-0232,godparent,1,Domingos,Antônio de Brien,74234-0012-03
74234-0227,74234-0329,godparent,1,Domingos,Anna Maria,74234-0012-03
74234-0229,74234-0228,spouse,1,José da Silva,Ana Maria do Sacramento,74234-0012-03
74234-0229,74234-0227,child,1,José da Silva,Domingos,74234-0012-03
74234-0228,74234-0229,spouse,1,Ana Maria do Sacramento,José da Silva,74234-0012-03
74234-0228,74234-0227,child,1,Ana Maria do Sacramento,Domingos,74234-0012-03
74234-0228,74234-0231,child,1,Ana Maria do Sacramento,Domingos Gonçalves da Silva,74234-0012-03
74234-0228,74234-0329,child,1,Ana Maria do Sacramento,Anna Maria,74234-0012-03
74234-0229,74234-0227,grandchild,1,José da Silva,Domingos,74234-0012-03
74234-0230,74234-0227,grandchild,1,Avô não declarado,Domingos,74234-0012-03
74234-0231,74234-0228,parent,1,Domingos Gonçalves da Silva,Ana Maria do Sacramento,74234-0012-03
74234-0231,74234-0227,grandchild,1,Domingos Gonçalves da Silva,Domingos,74234-0012-03
74234-0329,74234-0228,parent,1,Anna Maria,Ana Maria do Sacramento,74234-0012-03
74234-0329,74234-0227,grandchild,1,Anna Maria,Domingos,74234-0012-03
74234-0232,74234-0227,godchild,1,Antônio de Brien,Domingos,74234-0012-03
74234-0329,74234-0227,godchild,1,Anna Maria,Domingos,74234-0012-03
74234-0233,74234-0234,parent,1,Manuel,Francisco Manuel de Sousa,74234-0012-04
74234-0233,74234-0235,parent,1,Manuel,Joaquina Maria de Jesus,74234-0012-04
74234-0233,74234-0236,grandparent,1,Manuel,Domingos de Sousa Viegas,74234-0012-04
74234-0233,74234-0237,grandparent,1,Manuel,Joana Maria Barbosa,74234-0012-04
74234-0233,74234-0238,grandparent,1,Manuel,Xavier Pinto,74234-0012-04
74234-0233,74234-0239,grandparent,1,Manuel,Maria Teresa de Jesus,74234-0012-04
74234-0233,74234-0240,godparent,1,Manuel,José Manuel Gonçalves Vilela,74234-0012-04
74234-0233,74234-0241,godparent,1,Manuel,Maria Madalena de São José,74234-0012-04
74234-0234,74234-0235,spouse,1,Francisco Manuel de Sousa,Joaquina Maria de Jesus,74234-0012-04
74234-0234,74234-0233,child,1,Francisco Manuel de Sousa,Manuel,74234-0012-04
74234-0234,74234-0236,child,1,Francisco Manuel de Sousa,Domingos de Sousa Viegas,74234-0012-04
74234-0234,74234-0237,child,1,Francisco Manuel de Sousa,Joana Maria Barbosa,74234-0012-04
74234-0235,74234-0234,spouse,1,Joaquina Maria de Jesus,Francisco Manuel de Sousa,74234-0012-04
74234-0235,74234-0233,child,1,Joaquina Maria de Jesus,Manuel,74234-0012-04
74234-0235,74234-0238,child,1,Joaquina Maria de Jesus,Xavier Pinto,74234-0012-04
74234-0235,74234-0239,child,1,Joaquina Maria de Jesus,Maria Teresa de Jesus,74234-0012-04
74234-0236,74234-0234,parent,1,Domingos de Sousa Viegas,Francisco Manuel de Sousa,74234-0012-04
74234-0236,74234-0233,grandchild,1,Domingos de Sousa Viegas,Manuel,74234-0012-04
74234-0237,74234-0234,parent,1,Joana Maria Barbosa,Francisco Manuel de Sousa,74234-0012-04
74234-0237,74234-0233,grandchild,1,Joana Maria Barbosa,Manuel,74234-0012-04
74234-0238,74234-0235,parent,1,Xavier Pinto,Joaquina Maria de Jesus,74234-0012-04
74234-0238,74234-0233,grandchild,1,Xavier Pinto,Manuel,74234-0012-04
74234-0239,74234-0235,parent,1,Maria Teresa de Jesus,Joaquina Maria de Jesus,74234-0012-04
74234-0239,74234-0233,grandchild,1,Maria Teresa de Jesus,Manuel,74234-0012-04
74234-0240,74234-0233,godchild,1,José Manuel Gonçalves Vilela,Manuel,74234-0012-04
74234-0241,74234-0233,godchild,1,Maria Madalena de São José,Manuel,74234-0012-04
74234-0242,74234-0243,parent,1,Feliciano,Antônia Maria,74234-0012-05
74234-0242,74234-0244,godparent,1,Feliciano,Feliciano da Silva Pinto,74234-0012-05
74234-0242,74234-0245,godparent,1,Feliciano,Ana Maria Teresa,74234-0012-05
74234-0243,74234-0242,child,1,Antônia Maria,Feliciano,74234-0012-05
74234-0244,74234-0242,godchild,1,Feliciano da Silva Pinto,Feliciano,74234-0012-05
74234-0245,74234-0242,godchild,1,Ana Maria Teresa,Feliciano,74234-0012-05
74234-0246,74234-0250,godparent,1,Candelária,Antônio da Silva Pedroso,74234-0012-05
74234-0246,74234-0247,parent,1,Candelária,Bernardo Pimentel,74234-0012-05
74234-0246,74234-0248,parent,1,Candelária,Catarina Rosa dos Santos,74234-0012-05
74234-0246,74234-0270,godchild,1,Candelária,José Custódio Ribeiro de Magalhães,74234-0012-05
74234-0246,74234-0249,godparent,1,Candelária,Maria Roza,74234-0012-05
74234-0247,74234-0248,spouse,1,Bernardo Pimentel,Catarina Rosa dos Santos,74234-0012-05
74234-0247,74234-0246,child,1,Bernardo Pimentel,Candelária,74234-0012-05
74234-0248,74234-0247,spouse,1,Catarina Rosa dos Santos,Bernardo Pimentel,74234-0012-05
74234-0248,74234-0246,child,1,Catarina Rosa dos Santos,Candelária,74234-0012-05
74234-0270,74234-0246,godparent,1,José Custódio Ribeiro de Magalhães,Candelária,74234-0012-05
74234-0249,74234-0246,godchild,1,Maria Roza,Candelária,74234-0012-05
74234-0250,74234-0246,godchild,1,Antônio da Silva Pedroso,Candelária,74234-0012-05
74234-0251,74234-0252,parent,1,Teresa,Antônio José Mendes,74234-0013-01
74234-0251,74234-0253,parent,1,Teresa,Maria da Conceição,74234-0013-01
74234-0251,74234-0254,godparent,1,Teresa,João Batista dos Santos,74234-0013-01
74234-0251,74234-0255,godparent,1,Teresa,Ana Inácia,74234-0013-01
74234-0252,74234-0253,spouse,1,Antônio José Mendes,Maria da Conceição,74234-0013-01
74234-0252,74234-0251,child,1,Antônio José Mendes,Teresa,74234-0013-01
74234-0253,74234-0252,spouse,1,Maria da Conceição,Antônio José Mendes,74234-0013-01
74234-0253,74234-0251,child,1,Maria da Conceição,Teresa,74234-0013-01
74234-0254,74234-0251,godchild,1,João Batista dos Santos,Teresa,74234-0013-01
74234-0255,74234-0251,godchild,1,Ana Inácia,Teresa,74234-0013-01
74234-0256,74234-0330,godparent,1,Silverio,Domingos Dias,74234-0013-02
